36439, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	692, 544, 495, 485, 472, 195, 	6.562, -79.500, -89.125, 158.250, 88.250, 178.750, 	0
36459, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	693, 545, 496, 485, 472, 194, 	6.562, -79.500, -89.125, 158.250, 88.250, 178.750, 	0
36480, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	693, 546, 497, 486, 473, 195, 	6.562, -79.500, -89.125, 158.250, 88.250, 178.750, 	0
36499, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	696, 548, 498, 487, 474, 195, 	6.562, -79.500, -89.125, 158.250, 88.250, 178.750, 	0
36519, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	692, 544, 495, 485, 471, 195, 	6.562, -79.500, -89.125, 158.250, 88.250, 178.750, 	0
36539, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	692, 545, 496, 485, 472, 195, 	6.562, -79.500, -89.125, 158.250, 88.250, 178.750, 	0
36559, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	692, 545, 495, 485, 472, 195, 	6.562, -79.500, -89.125, 158.250, 88.250, 178.750, 	0
36579, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	693, 545, 496, 485, 473, 195, 	6.562, -79.500, -89.125, 158.250, 88.250, 178.750, 	0
36599, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	696, 547, 497, 487, 474, 195, 	6.562, -79.500, -89.125, 158.250, 88.250, 178.750, 	0
36619, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	694, 546, 496, 486, 473, 195, 	6.562, -79.500, -89.125, 158.250, 88.250, 178.750, 	0
36639, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	693, 545, 495, 485, 472, 195, 	6.562, -79.500, -89.125, 158.250, 88.250, 178.750, 	0
36659, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	692, 544, 495, 485, 472, 195, 	6.562, -79.500, -89.125, 158.250, 88.250, 178.750, 	0
36679, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	692, 544, 495, 485, 472, 195, 	6.562, -79.500, -89.125, 158.250, 88.250, 178.750, 	0
36699, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	695, 547, 497, 487, 474, 196, 	6.562, -79.500, -89.125, 158.250, 88.250, 178.750, 	0
36719, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	692, 544, 494, 484, 471, 195, 	6.562, -79.500, -89.125, 158.250, 88.250, 178.750, 	0
36739, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	693, 545, 495, 485, 472, 195, 	6.562, -79.500, -89.125, 158.250, 88.250, 178.750, 	0
36759, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	693, 544, 495, 484, 472, 194, 	6.562, -79.500, -89.125, 158.250, 88.250, 178.750, 	0
36779, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	692, 544, 495, 484, 471, 194, 	6.562, -79.500, -89.125, 158.250, 88.250, 178.750, 	0
36799, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	694, 545, 496, 486, 473, 195, 	6.562, -79.500, -89.125, 158.250, 88.250, 178.750, 	0
36819, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	693, 545, 495, 484, 471, 195, 	6.562, -79.500, -89.125, 158.250, 88.250, 178.750, 	0
36839, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	693, 545, 496, 486, 473, 195, 	6.562, -79.500, -89.125, 158.250, 88.250, 178.750, 	0
36859, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	692, 544, 495, 484, 471, 195, 	6.562, -79.500, -89.125, 158.250, 88.250, 178.750, 	0
36879, 0, 0, 	0, 0, 0, 0, 0, 0, 	0, 0, 0, 0, 0, 0, 	691, 544, 495, 485, 472, 195, 	6.562, -79.500, -89.125, 158.250, 88.250, 178.750, 	0
